epoch,phase,train_loss,val_loss,macro_accuracy,macro_precision,macro_recall,macro_specificity,macro_f1,macro_dice,macro_jaccard,macro_auc_roc,MEL_accuracy,MEL_precision,MEL_recall,MEL_specificity,MEL_f1,MEL_dice,MEL_jaccard,MEL_auc_roc,NV_accuracy,NV_precision,NV_recall,NV_specificity,NV_f1,NV_dice,NV_jaccard,NV_auc_roc,BCC_accuracy,BCC_precision,BCC_recall,BCC_specificity,BCC_f1,BCC_dice,BCC_jaccard,BCC_auc_roc,AKIEC_accuracy,AKIEC_precision,AKIEC_recall,AKIEC_specificity,AKIEC_f1,AKIEC_dice,AKIEC_jaccard,AKIEC_auc_roc,BKL_accuracy,BKL_precision,BKL_recall,BKL_specificity,BKL_f1,BKL_dice,BKL_jaccard,BKL_auc_roc,DF_accuracy,DF_precision,DF_recall,DF_specificity,DF_f1,DF_dice,DF_jaccard,DF_auc_roc,VASC_accuracy,VASC_precision,VASC_recall,VASC_specificity,VASC_f1,VASC_dice,VASC_jaccard,VASC_auc_roc
11,2,0.268329,0.239128,0.6571,0.5442,0.6072,0.943,0.5503,0.5615,0.438,0.8759,0.8879,0.5288,0.6637,0.9173,0.5978,0.5978,0.252,0.8509,0.8161,0.9173,0.7452,0.9226,0.806,0.806,0.5497,0.9034,0.8817,0.4656,0.7933,0.9005,0.5163,0.5163,0.1784,0.908,0.9384,0.4463,0.6805,0.9614,0.4872,0.4872,0.1598,0.9105,0.9065,0.6591,0.4021,0.9719,0.4693,0.4693,0.1499,0.8623,0.9645,0.4397,0.4786,0.9652,0.4445,0.4445,0.134,0.8677,0.9877,0.4509,0.6186,0.9676,0.5257,0.5257,0.1866,0.9084
12,2,0.254258,0.244132,0.6905,0.5761,0.6404,0.9621,0.5892,0.5941,0.4724,0.8885,0.8825,0.5439,0.6924,0.9135,0.5751,0.5751,0.2263,0.8628,0.837,0.9175,0.7567,0.922,0.8291,0.8291,0.5902,0.8962,0.902,0.4823,0.7835,0.8966,0.5551,0.5551,0.2129,0.9088,0.9563,0.4986,0.6436,0.9654,0.4984,0.4984,0.1675,0.9012,0.8961,0.6777,0.4312,0.9811,0.505,0.505,0.1745,0.8441,0.9743,0.4628,0.5185,0.9929,0.4805,0.4805,0.1542,0.8744,0.9548,0.5059,0.6446,0.992,0.5641,0.5641,0.2153,0.9018
13,2,0.220416,0.230351,0.7089,0.5988,0.6593,0.9355,0.5906,0.5991,0.5003,0.9083,0.8699,0.5684,0.7136,0.9148,0.6008,0.6008,0.2544,0.8757,0.8396,0.9396,0.7895,0.9254,0.8423,0.8423,0.6215,0.9282,0.899,0.5217,0.8032,0.9099,0.5784,0.5784,0.2381,0.9175,0.9662,0.4953,0.7145,0.9622,0.5549,0.5549,0.2146,0.9123,0.9144,0.7042,0.4513,0.9784,0.5298,0.5298,0.19,0.8725,0.9614,0.4976,0.5384,0.988,0.5038,0.5038,0.1732,0.8789,0.9825,0.5149,0.6589,0.9827,0.5719,0.5719,0.233,0.9222
14,2,0.212354,0.234553,0.7354,0.6362,0.6909,0.9405,0.6309,0.6421,0.5148,0.9118,0.9121,0.6033,0.6998,0.9161,0.6491,0.6491,0.3076,0.889,0.8511,0.9369,0.7926,0.9268,0.8484,0.8484,0.626,0.9145,0.8911,0.5483,0.8033,0.9127,0.6047,0.6047,0.2652,0.9124,0.9268,0.5306,0.6917,0.947,0.5736,0.5736,0.2293,0.9483,0.914,0.7167,0.5157,0.984,0.5594,0.5594,0.2154,0.8701,0.972,0.53,0.6052,0.9869,0.5338,0.5338,0.1889,0.8774,0.9921,0.5325,0.7115,0.9906,0.5897,0.5897,0.2487,0.9326
15,2,0.178252,0.230245,0.753,0.6443,0.6909,0.9495,0.6182,0.6353,0.5461,0.897,0.9017,0.6262,0.7173,0.9321,0.6414,0.6414,0.3012,0.9002,0.841,0.9327,0.8365,0.9333,0.8551,0.8551,0.6312,0.9129,0.9073,0.5603,0.7957,0.9232,0.6222,0.6222,0.2824,0.9122,0.9397,0.5736,0.7263,0.9743,0.6074,0.6074,0.2632,0.9467,0.9096,0.7309,0.5288,0.9878,0.5842,0.5842,0.2431,0.8628,0.9588,0.5644,0.5819,0.9791,0.5607,0.5607,0.2236,0.9037,0.9708,0.5594,0.7152,0.9767,0.6349,0.6349,0.296,0.9218
16,2,0.152529,0.222401,0.7576,0.6504,0.7229,0.9482,0.6504,0.6519,0.5541,0.9124,0.9034,0.6357,0.726,0.9224,0.6477,0.6477,0.3117,0.8954,0.8702,0.9267,0.818,0.93,0.8751,0.8751,0.6849,0.9349,0.9188,0.5963,0.8187,0.9377,0.651,0.651,0.311,0.936,0.9632,0.5616,0.7138,0.963,0.6139,0.6139,0.2743,0.9441,0.9127,0.7257,0.5477,0.9721,0.6034,0.6034,0.2645,0.8868,0.9748,0.5581,0.6168,0.9867,0.5919,0.5919,0.2484,0.9106,0.9766,0.5879,0.7491,0.9759,0.6447,0.6447,0.3029,0.9358
17,2,0.164397,0.220709,0.7697,0.6724,0.7503,0.9542,0.6853,0.686,0.5695,0.922,0.9079,0.6482,0.7373,0.9694,0.6916,0.6916,0.3622,0.8971,0.8748,0.9526,0.8273,0.927,0.8762,0.8762,0.6786,0.9161,0.9382,0.6082,0.8239,0.9496,0.6796,0.6796,0.3407,0.9437,0.9463,0.5874,0.7505,0.9849,0.6505,0.6505,0.3261,0.9573,0.9325,0.7491,0.5925,1.0,0.6292,0.6292,0.2881,0.8792,0.9696,0.6142,0.6425,0.9954,0.6005,0.6005,0.2598,0.9044,0.9571,0.6176,0.724,0.9804,0.6665,0.6665,0.3318,0.9355
18,2,0.166027,0.212892,0.7733,0.7194,0.728,0.9754,0.6707,0.7086,0.5966,0.9258,0.9136,0.6679,0.7536,0.9403,0.6925,0.6925,0.3695,0.9051,0.8846,0.9321,0.8219,0.9451,0.8597,0.8597,0.6548,0.9344,0.9246,0.6448,0.8392,0.9361,0.7007,0.7007,0.3833,0.9469,0.9476,0.597,0.7227,0.9569,0.6689,0.6689,0.3423,0.939,0.9306,0.7453,0.6087,0.972,0.6447,0.6447,0.3097,0.8813,0.9746,0.6337,0.6399,0.9677,0.6397,0.6397,0.304,0.9094,0.9677,0.6313,0.791,0.9787,0.6713,0.6713,0.3401,0.9333
19,2,0.153732,0.203522,0.8057,0.7163,0.7688,0.9672,0.7164,0.707,0.6075,0.9302,0.9235,0.687,0.7689,0.9285,0.7086,0.7086,0.3859,0.8948,0.8737,0.9275,0.8452,0.955,0.8886,0.8886,0.7103,0.9313,0.9434,0.6602,0.8418,0.9315,0.7277,0.7277,0.4163,0.9308,0.9774,0.6532,0.7696,0.9636,0.6596,0.6596,0.3251,0.9254,0.9331,0.7665,0.6389,0.9755,0.6782,0.6782,0.3471,0.8724,0.964,0.6262,0.6637,0.9767,0.6722,0.6722,0.3465,0.9036,0.9697,0.6592,0.7428,1.0,0.6947,0.6947,0.3738,0.9521
20,2,0.150086,0.205537,0.8128,0.7335,0.7553,0.9712,0.7028,0.7506,0.6378,0.9347,0.9309,0.7161,0.7905,0.9556,0.7421,0.7421,0.4363,0.934,0.8924,0.9406,0.8534,0.9147,0.9015,0.9015,0.7453,0.9199,0.9519,0.6812,0.8502,0.9489,0.7262,0.7262,0.4147,0.9284,0.9593,0.675,0.7452,0.9831,0.7019,0.7019,0.3729,0.9629,0.9442,0.7976,0.6581,0.9844,0.6792,0.6792,0.3597,0.9156,0.9864,0.6621,0.6726,0.9722,0.6438,0.6438,0.302,0.9245,0.9939,0.6634,0.7824,0.9718,0.722,0.722,0.4098,0.9303
